country,Population,rev_id
Pitcairn Islands,Population not found,717340996
Pitcairn Islands,Population not found,717341064
Pitcairn Islands,Population not found,717345596
Pitcairn Islands,Population not found,717346443
Martinique,Population not found,717349591
Palestinian Territory,Population not found,717350346
Carniolan,Population not found,717350390
Pitcairn Islands,Population not found,717350782
South Korean,Population not found,717405394
Czech Republic,Population not found,717429365
Samoan,Population not found,717442173
Cook Island,Population not found,717545630
Cook Island,Population not found,717593716
Carniolan,Population not found,717669055
Hondura,Population not found,717808509
Pitcairn Islands,Population not found,717867039
Cook Island,Population not found,717897925
Salvadoran,Population not found,717903674
Palestinian Territory,Population not found,717907429
Jersey,Population not found,717911161
Omani,Population not found,717915660
Guadeloupe,Population not found,718041739
Hondura,Population not found,718132526
Cape Colony,Population not found,718462130
"Congo, Dem. Rep. of",Population not found,718961623
Samoan,Population not found,718995854
Guernsey,Population not found,719122168
Cook Island,Population not found,719186872
Montserratian,Population not found,719256142
Hondura,Population not found,719637124
Samoan,Population not found,719691980
Pitcairn Islands,Population not found,719706841
East Timorese,Population not found,720011934
Czech Republic,Population not found,720027362
Guadeloupe,Population not found,720032116
Guadeloupe,Population not found,720040455
Guadeloupe,Population not found,720040633
Guadeloupe,Population not found,720040679
Guadeloupe,Population not found,720040713
Guadeloupe,Population not found,720040739
Martinique,Population not found,720040766
French Guiana,Population not found,720040781
French Guiana,Population not found,720040911
Guadeloupe,Population not found,720047704
Martinique,Population not found,720051482
Martinique,Population not found,720051522
Martinique,Population not found,720051537
Guadeloupe,Population not found,720055613
Guadeloupe,Population not found,720055699
Guadeloupe,Population not found,720055763
Guadeloupe,Population not found,720055814
Guadeloupe,Population not found,720055877
Guadeloupe,Population not found,720055937
Martinique,Population not found,720059715
Martinique,Population not found,720059792
Martinique,Population not found,720116944
Guadeloupe,Population not found,720117073
Guadeloupe,Population not found,720117155
Guadeloupe,Population not found,720117294
Martinique,Population not found,720127025
Martinique,Population not found,720127121
Palestinian Territory,Population not found,720225559
Saint Kitts and Nevis,Population not found,720360218
Salvadoran,Population not found,720419598
Jersey,Population not found,720430005
Tokelauan,Population not found,720435378
French Guiana,Population not found,720461524
Salvadoran,Population not found,720478176
Palestinian Territory,Population not found,720541817
Saint Kitts and Nevis,Population not found,720572188
Salvadoran,Population not found,720623176
Salvadoran,Population not found,720633452
"Congo, Dem. Rep. of",Population not found,720858135
Abkhazia,Population not found,721094337
"Congo, Dem. Rep. of",Population not found,721206007
Guadeloupe,Population not found,721660701
South Ossetian,Population not found,721687759
Czech Republic,Population not found,721736524
French Guiana,Population not found,721865198
Faroese,Population not found,721938213
Hondura,Population not found,722006681
Hondura,Population not found,722195895
Omani,Population not found,722258362
Guernsey,Population not found,722295712
Faroese,Population not found,722336332
Faroese,Population not found,722336979
Hondura,Population not found,722442093
Faroese,Population not found,722590461
Guernsey,Population not found,722806951
Czech Republic,Population not found,722937211
Jersey,Population not found,722988899
South Korean,Population not found,723064614
Swaziland,Population not found,723121670
Czech Republic,Population not found,723151837
Samoan,Population not found,723152770
Hondura,Population not found,723153856
Czech Republic,Population not found,723207013
Salvadoran,Population not found,723277343
Hondura,Population not found,723304712
Cape Colony,Population not found,723563811
Dagestani,Population not found,723563977
Abkhazia,Population not found,723736482
Saint Kitts and Nevis,Population not found,723892438
"Congo, Dem. Rep. of",Population not found,723913158
Faroese,Population not found,724674137
